ObjType	UniqueId	Name	Description	XSigned	XLSBFirst	XOffsetInt	XOffsetHex	XSizeInBits	XAddrStep	XUnits	XOutputType	XEquation	XPrecision	XRangeLow	XRangeHigh	YSigned	YLSBFirst	YOffsetInt	YOffsetHex	YSizeInBits	YAddrStep	YUnits	YOutputType	YEquation	YPrecision	YRangeLow	YRangeHigh	ZSigned	ZLSBFirst	ZOffsetInt	ZOffsetHex	ZSizeInBits	ZUnits	ZOutputType	ZEquation	ZPrecision	ZRangeLow	ZRangeHigh	BitNumber	BitMask	RowCount	ColCount	IndexCount
		MAP_WOT_EGRS 	 MAP above which WOT EGR is enabled.																																								
		PFEHP 	" PFE hardware present; 0 -> Sonic EGR being used, 1 or  2  ->  EGR not used."																																								
		DCOFF 	 Duty cycle required to start to  open  the  valve  equivalent  to LGAOD in the Vent/Vac system.																																								
		EGRTD7 	" Calibration time delay to ramp on EGR, sec."																																								
		FN074A 	 Exhaust pressure as a function of AM.  FN074A should be measured at sea level when mapping the data.																																								
		FN211 	 EGR rate multiplier as a function of Engine  Coolant  Temperature ECT.																																								
		FN212A 	 EGR rate multiplier as a function of Barometric Pressure BP.																																								
		FN218 	 Ratio of mass flow to choked flow as a function of MAP/PEXH.																																								
		FN219 	 EGR mass flow as a function of EGR valve position EVP - EOFF.																																								
		FN220 	" EGR rate multiplier as a function of Air Charge Temperature, ACT."																																								
		FN221 	 Desired EGR valve position as a function of desired EM.																																								
		FN239 	" Change in EVR duty cycle as a function of the EGR valve  position error, EGRERR."																																								
		FN1220 	" EGR rate table as a function of LOAD and N, percent."																																								
		FN1222 	" Fuel Economy EGR Rate Table, percent."																																								
		KPEI 	 Constant EGR adder.																																								
		TCDLOP 	 Time constant for DELOPT rolling average filter.																																								
		TCEACT 	 Time constant for EGRACT rolling average filter.																																								
		X 	 EGRATE multiplier for development.																																								
		CRKTIM 	 Time in run mode to clear 100% cranking duty cycle.																																								
		DASMHYST 	" Hysteresis for DASMPH, mph."																																								
		DASMPH 	" Minimum VSBAR for declutch DASPOT clip, mph."																																								
		FMMDSD 	 Failure mode management default desired rpm.																																								
		FMMISC 	" Default Duty Cycle to ISC, fraction."																																								
		FN884(TCSTRT) 	" ISC Duty Cycle in Crank, deg."																																								
		TRLOAD 	" Transmission Load. 0 -> Manual Transmission, no clutch or gear switches, forced neutral state (NDSFLG = 0). 1 -> Manual Transmission, no clutch or gear switch. 2 -> Manual Transmission, one clutch or gear switch. 3 -> Manual Transmission, both clutch and gear switches. 4 -> Auto Transmission, non-electronic, neutral drive switch. 5 -> Auto Transmission, non-electronic, neutral pressure switch, (AXOD). 6 -> Auto Transmission, electronic, PRNDL sensor - park, reverse, neutral, overdrive, manual 1, manual 2."																																								
		BZZRPM 	 RPM adder intended to provide a short increase in RPM for engine cleanout  on  start-up.  The buzz-up function is not affected by the part throttle kickdown until BZZTM expires.  ..Typical value - 300 RPM.																																								
		BZZRPM_ALT 	 Alternate BZZRPM.																																								
		BZZTM 	 Time for which BZZRPM adder is in effect.  ..Typical  value  -  3 seconds.																																								
		BZZTM_ALT 	 Alternate BZZTM.																																								
		CHGRPM 	" Maximum RPM delta above  base  to  enable  battery  charge,  I/M logic.   Also  upper  clip on DSDRPM adder due to battery charge and I/M. (FN821A + FN880), RPM."																																								
		CSSMAF 	 Cold start spark DESMAF  multiplier.   Used  to  compensate  for increased airflow requirement due to retarded spark.																																								
		DACTM 	 Time to maintain A/C rpm adder after  A/C  has  been  disengaged. Used  to  prevent RPM changes when A/C cycles rapidly.  ..Typical value - 30 sec.																																								
		DNAC 	 RPM increment requested with the A/C on.   ..Typical  value  -  75 RPM.																																								
		DNPOWS 	" If a power steering pressure  switch  is  used,  this  parameter increments  the  desired RPM when an increased load is sensed.  ..Typical value - 75 RPM."																																								
		DRBASE 	 Base desired engine speed in drive.																																								
		FN825A(ECT) 	 RPM adder as a  function  of  ECT.   Provides  base  Hi-Cam function.																																								
		FN825A_ALT 	 Alternative FN825A.																																								
		FN825B(ACT) 	 RPM adder as a function of ACT.  Provides  higher  idle  at very low ambients.																																								
		FN826A(TCSTRT) 	 RPM adder as a function of ECT at start.  This adder  is not  used  when  either  the first part throttle transition since exiting crank is observed or the time since  start  exceeds  a  calibrated  value (TKDTM).																																								
		FN875D(DSDRPM) 	 Airflow required for closed throttle operation in drive. Input to this function is DSDRPM.																																								
		FN875N(DSDRPM) 	  Airflow  required  for  closed  throttle  operation  in neutral.  Input to this function is DSDRPM.																																								
		FN880(IDLTMR) 	" DSDRPM adder vs.  time at idle (IDLTMR).  Used as part of the  inspection/maintenance  strategy.   Remember that any RPM above base idle disables ISCKAM adaptive learning via HCAMFG.  Also, IDLTMR requires RPM  to  be  below  IDLRPM,  an  absolute  parameter which is not tied to DSDRPM.  Too high an RPM adder in FN880 could disable IDLTMR."																																								
		FN885 	 A/C DESMAF adder based on N.																																								
		FN887A(ACT) 	 A/C air flow correction based on ACT.																																								
		"FN1861(ECT,ATMR3) "	" Airflow multiplier  vs.   ECT  and  ATMR3.   Used  to compensate  for  additional friction at start-up as a function of time in addition to normal ECT compensation.  Increased friction effects tend  to go  away  after  about one minute.  Inputs are ECT normalizing by FN020C, ATMR3 normalizing by FN018B."																																								
		ISCLPD 	 A clip on the maximum desired speed that can be  requested  with vehicle in drive.  Usually the GPAS defined speed allowed at 0.2 miles on a cold start.  ..Typical value - 1100 RPM.																																								
		MINACT 	 Minimum ACT before adding RPMINC to desired RPM.																																								
		NUBASE 	 Base desired engine speed in neutral.																																								
		PSPPM 	 Airflow increment required when power steering  load  is  sensed. Value increments the desired flow through the ISC actuator to account for increased load.  ..Typical value - 0.10 ppm.																																								
		PSPSHP 	 Software switch used to  indicate  if  Power  Steering  Pressure Switch is present; 1 -> switch used; 0 = no switch.																																								
		TCDESN 	 Filter constant for the desired engine  speed  calculated  value (DSDRPM).   Used  to  slow  changes  in  desired  speed in the decreasing direction.  ..Typical value - 3.5 sec																																								
		TKDTM 	 Time since start after which FN826A is eliminated  as  a  desired RPM adder.  ..Typical value - 20 seconds.																																								
		TRLOAD 	" Transmission Load switch - 0 -> Manual transmission,  no  clutch or  gear switch, NDSFLG = 0; 1 -> Manual trans, no clutch or gear switch; 2 -> Manual trans, one clutch or gear switch; 3  ->  Manual  trans,  both switches;  4  ->  Automatic  trans,  NDS; 5 -> Automatic trans, NPS; 6 -> Automatic trans, 7 position PRNDL; 7 -> Automatic trans,  PRNDL  switches (4EAT)."																																								
		RVIPRPM 	 Desired RPM controlled by Engine Running VIP strategy.																																								
		VTCDSN 	" Filter constant for ISC ramp down down, unitless."																																								
		RUNUP_DIFF 	 RPM difference from DSDRPM to set RUNUP_FLG = 1.																																								
		RUNUP_DIFF_A 	 Pre-delivery RPM difference from DSDRPM to set RUNUP_FLG = 1.																																								
		TCBPA 	 Time constant for RPMERR_A.																																								
		TCFBS 	 Time constant for RPMERR_S.																																								
		V_RUNUP_DIFF 	 RPM difference from DSDRPM to set RUNUP_FLG =  1  when  in VIP.																																								
		DASPTK 	 Gain associated with the desired DASPOT airflow.   To  calibrate this  value  first  determine  the throttle position above RATCH at which maximum DASPOT airflow is  desired.   Subtract  DASPTO  from  DASMAX  and divide  the  result  by the throttle delta between RATCH and this maximum dashpot airflow to determine the DASPTK value.																																								
		DASPTO 	 An offset term applied to the DASPOT  calculation.   Insures  at least some dashpot airflow on rapid tip-in/tip-outs.																																								
		DELHYS 	 Closed to part throttle hysteresis in TP counts.  DELHYS  should be  set equal to DELTA + HYSTS (closed throttle breakpoint).  This starts the dashpot calculation relative to the C.T./P.T.  breakpoint to  prevent changes in dashpot when leaving closed throttle.																																								
		DPNEU_MUL 	" Neutral daspot multiplier, unitless."																																								
		FN879 	 A background driven decrement to the dashpot preposition  airflow register  (DASPOT)  as  a function of DASPOT.  FN879 can be calibrated to achieve an exponentially decaying dashpot which is useful in decaying the large DASPOT values used to control over-rich tip out conditions.																																								
		FN882A(N - DSDRPM) 	 Maximum dashpot clip as a function of the RPM  delta above desired rpm.  (N - DSDRPM) is clipped to 0 as a minimum.																																								
		FN891(VSBAR) 	 Dashpot maximum clip as a function of vehicle speed.  Used in  automatic  transmission  vehicles at higher vehicle speeds to prevent harsh backout shifts by limiting large values of dashpot.																																								
		FN894(N_RATCH - DSDRPM) 	" Minimum DASPOT airflow clip for 1st,  2nd,  and 3rd  gears,  ppm.  For manual transmissions, FN894 can be used to prevent declutch stalls.  The input is N_RATCH which only ratchets down after the declutch.   This  is done to prevent the rpm from hanging up if it flares after the declutch."																																								
		TCDASD 	 Time constant used when TP is less than or equal to the filtered TP  value.   Should  be calibrated such that part throttle backouts where closed throttle is not entered do not exhibit a run-on feel.  Too fast  a filter  can  have the effect of greatly reducing dashpot airflow prior to entry into dashpot control.																																								
		TCDASU 	 Filter constant used when TP is greater  than  the  filtered  TP value   (DSTPBR).    The   larger  the  time  constant  the  more  slowly pre-position airflow will be available  to  respond  to  tip  in/tip  out actions.   Fast  response can also be obtained by use of the offset value DASPTO without the potential runaway feel that may come with too  fast  a filter constant/airflow gain (DASPTK) combination.																																								
		V_879_MULT 	 VIP multipler for DASPOT function FN879.																																								
		ACMAP 	 An adder to FN862(BP)  when  A/C  is  on.   Should  be  based  on observed differences between A/C on & A/C off idle MAP readings.																																								
		FN862(BP) 	 Decel MAP value as a function of BP.  This  value  takes  the place of LOWMAP and is used to vary decel MAP as a function of altitude.																																								
		ISCTM 	 Time interval over which the rate of change in  engine  speed  is evaluated.   Value  should  be  small  enough  to  avoid  prolonged speed hang-ups if the ISC system were locked out of C/L speed control  but  not too short such that the rate of speed change check becomes meaningless.																																								
		MINMPH 	 Minimum speed to enter C/L  RPM  control.   Applies  to  systems having  VSS.   Should be set below the speed at which an automatic trans. vehicle rolls along in drive without the  brakes.   This  is  to  prevent going into RPM control during parking lot maneuvers.																																								
		NDIF 	 The deviation in engine speed allowed  over  the  ISCTM  specified time  interval.   Values  too  small could lock the ISC system out of C/L speed control indefinitely.  Values too large invalidate the check.																																								
		RPMCTL 	 Added to DSDRPM.  The total defines the engine  speed  threshold below  which entry into C/L RPM control is allowed.  This value should be reasonably small to avoid inadvertent entry into C/L ISC.																																								
		SETLNG_TM 	 Manifold stabilization time.  Used to delay  entry  into  RPM control.																																								
		V_SETLNG_TM 	 VIP delay to enter ISC rpm control.																																								
		PSIBRM 	 Maximum allowed value for ISCKAMn.  ISCKAMn is clipped  to  this value.																																								
		PSIBRN 	 Minimum allowed value for ISCKAMn.  ISCKAMn is clipped  to  this value.																																								
		RPMDED 	  Adaptive  ISC  learning  deadband.   Learning  is  disabled  if RPMERR_A exceeds this deadband.																																								
		UPDATM 	 Pacing at which the IPSIBR correction factor is rolled into KAM. Value is in terms of background loop counts.																																								
		UPDISC 	 Time that engine speed must be  within  the  specified  deadband (RPMDED) prior to KAM update.																																								
		BPCOR_SW 	" Calibration switch for  BP  correction  to  DEBYMA;  0  ->  no correction, 1 -> use correction."																																								
		DEBYCP 	 Minimum allowed airflow through the ISC  actuator.   This  is  a clip on DEBYMA.																																								
		FN800(DEBYMA) 	" Transfer function for the ISC actuator.   Initial  values for  this  function  should come directly from flow data provided by fuel systems.  Data must be generated at the expected idle vacuum setting  for each  particular application.  The best way to get actual vehicle data is to connect a duty cycle box to the ISC actuator, vary the duty cycle  and plot  actual  airflow  using a hot wire type air meter.  ..Typical values vary based on engine application and flow capacity of the ISC actuator."																																								
		FN820A(VACUUM) 	 ISC duty cycle multiplier versus VACUUM.  Used  to  hold constant actuator airflow on a decel after dashpot action is complete.																																								
		FN890(BP) 	" ISC duty cycle altitude compensation subtractor.  Required to offset the effect with altitude of a varying pressure drop across the ISC actuator, which affects its air flow."																																								
		IDCMUL 	" ISCDTY multiplier, no units."																																								
		IDCOFS 	" ISCDTY adder, fraction of fully open."																																								
		ITHBMA 	" Throttle body idle mass air flow with  throttle  plate  at  idle screw  stop and 0% ISC duty cycle.  This is any airflow which does not go through the bypass air solenoid, i.e.  throttle plate, PCV system, intake leakage, etc."																																								
		V820A 	" ISC duty cycle multiplier, used for VIP only."																																								
		ACHPTM 	 Calibrated time since start to recognize high AC head pressure.																																								
		DEBYCP 	" Minimum value of ISC valve airflow, ppm."																																								
		ECT_HP 	 ECT temperature where AC head pressure is capable  of  switching the A/C off.																																								
		FN852(RPMERR) 	 Proportional control function used to modify DESMAF.																																								
		IPSIDLY 	" Time delay to disable IPSIBR Update, sec."																																								
		PSIBRM 	 Maximum allowed value for IPSIBR when in normal strategy.																																								
		PSIBRN 	 Minimum allowed value for IPSIBR when in normal strategy.																																								
		TC_OVER 	" Time constant used to control the integral gain (or pacing)  of the  term,  IPSIBR.   TC_OVER  is used when RPMERR_A <= 0, i.e., when the actual  speed  is  higher  than  desired.   A  large  value  of   TC_OVER corresponds to a small integral gain, a small value corresponds to a high gain."																																								
		TC_UNDER 	" Time constant used to control the integral gain (or pacing) of the  term,  IPSIBR.   TC_UNDER  is used when RPMERR_A > 0, i.e., when the actual  speed  is  lower  than  desired.   A  large  value  of   TC_UNDER corresponds to a small integral gain, a small value corresponds to a high gain."																																								
		VSIBRM 	 Maximum allowed value for IPSIBR when in Running VIP.																																								
		VSIBRN 	 Minimum allowed value for IPSIBR when in Running VIP.																																								
		VTC_OVER 	" Time constant used to control the integral gain (or pacing) of the  term,  IPSIBR,  when  in  Engine Running VIP.  VTC_OVER is used when RPMERR_A <= 0, i.e.  when  the  actual  speed  is  higher  than  desired. Corresponds to TC_OVER in normal strategy."																																								
		VTC_UNDER 	" Time constant used to control the integral gain  (or  pacing) of  the term, IPSIBR, when in Engine Running VIP.  VTC_UNDER is used when RPMERR_A > 0,  i.e.   when  the  actual  speed  is  lower  than  desired. Corresponds to TC_UNDER in normal strategy."																																								
		DESMAF_PRE 	" Predicted desired idle air flow, ppm.  This is the open loop air  flow  prediction which is required to idle, calculated as a function of ECT and time since start and including A/C, power steering and  heated windshield   adders.   It  does  not  include  any  closed  loop  or  KAM corrections."																																								
		FN501(MAPPA) 	 MAPPA to duty cycle ratio transfer function.																																								
		GOVHP 	 7.0L Governor  hardware  present  switch;  set  GOVHP  =  1  to   activate this logic.																																								
		CANPHP 	 Canister purge hardware present  switch;  1  ->  EEC  controlled purge hardware present.																																								
		EVTDOT 	" Minimum time not at Closed throttle to enable purge,  sec.   Set to ""zero"" to purge at Closed Throttle."																																								
		FN600(PRGTMR) 	 Purge duty cycle  as  a  function  of  accumulated  purge enable time.																																								
		FN603 	 Maximum LAMBSE allowed before purge duty cycle is decremented.																																								
		FN605A(AM) 	 Purge duty cycle modulator as a function of air mass.																																								
		FULPRGTM 	" Maximum clip for PRGTMR, sec.  Should be set to the time  when the output of FN600 first reaches its maximum."																																								
		MINADP 	 Minimum allowable correction.																																								
		NLMT 	 Maximum engine RPM.																																								
		PRG_DEC 	 PURGDC decrement value.																																								
		PURECT 	" Minimum ECT to enable purge if WMEGOL is not set, deg F."																																								
		PURECT1 	" Minimum ECT to  decrement  PRGTMR  when  EGO  is  cold  or  not switching, deg F."																																								
		PURGSW 	 Calibration switch to enable purge in Open Loop.																																								
		BYPMAP 	" Minimum value of BYPTMR to bypass thermactor, sec."																																								
		BYPWOT 	" Minumum time to wide open throttle to bypass air, sec."																																								
		BYSTM1 	" Maximum time to bypass thermactor after a high ECT startup, sec."																																								
		BYSTM2 	" Maximum time to bypass  thermactor  after  an  intermediate  ECT startup, sec."																																								
		BYSTM3 	" Maximum time to bypass thermactor after ECT > TEMPFB for  a  low ECT startup, sec."																																								
		BYSTM4 	" Minimum time at closed throttle idle to bypass thermactor, sec."																																								
		BYSTM8 	" Minimum time at low MAP to bypass thermactor during decel, sec."																																								
		CHKASW 	 Control switch for CHKAIR.																																								
		CTBYS 	" Minimum coolant temperature to bypass thermactor air, deg F."																																								
		CTBYSH 	" Hysteresis term for CTBYS, deg F."																																								
		CTHIGH 	" Hot start minimum ECT, deg F."																																								
		CTLOW 	" Cold start maximum ECT, deg F."																																								
		DSFTSW 	 Control switch for thermactor air decel fuel.																																								
		FNTP_AIR_OFF 	 TP_REL at which to dump air below.																																								
		SW_MPD 	" Control switch for Thermactor air bypass MPG mode; 0  ->  Do  no bypass in MPG Mode, 1 -> bypass in MPG mode."																																								
		TP_AIR_OFF_H 	 Hystersis for FNTP_AIR_OFF (bypass air at low TP_REL as  a f'n of ROM)																																								
		T75LSW 	 Switch to dump air during closed loop for 7.5L applications.																																								
		UPSMAP 	" Maximum time for upstream air at high MAPPA, sec."																																								
		UPSTM1 	" Maximum time for upstream air  after  a  low  milage,  high  ECT startup, sec."																																								
		UPSTM2 	" Maximum time for upstream air after a low  milage,  intermediate ECT startup, sec."																																								
		UPSTM3 	" Maximum time for upstream air after  ECT  >  TEMPFB  for  a  low milage, low ECT startup, sec."																																								
		UPSTM4 	" Maximum time for upstream air after  a  high  milage,  high  ECT startup, sec."																																								
		UPSTM5 	" Maximum time for upstream air after a high milage,  intermediate ECT startup, sec."																																								
		UPSTM6 	" Maximum time for upstream air after ECT  >  TEMPFB  for  a  high milage, low ECT startup, sec."																																								
		UPSWOT 	" Maximum time for upstream air at W.O.T., sec."																																								
		GOVHP 	" Governor hardware present switch; 0 -> no governor, 1 -> governor present."																																								
		FN500 	 Transfer function to convert TPREL counts to percent  duty  cycle for transmission on the DOL.																																								
		PUL_PER_GAL 	" Number of DOL pulses to be issued for each gallon  of  fuel used, pulse per gal. NOTE:  THE VALUE FOR PUL_PER_GAL MUST  BE  OBTAINED  FROM  EED/INSTRUMENT SYSTEMS FOR EACH APPLICATION."																																								
		ALT_CAL_DIST 	" Distance traveled before alternate calibration is revoked, miles."																																								
		FN12A(TP_REL_H) 	 Vehicle speed for 1 - 2 upshift at altitude.																																								
		FN12S(TP_REL_H) 	 Vehicle speed for 1 - 2 upshift at sea level.																																								
		FN21A(TP_REL_H) 	 Vehicle speed for 2 - 1 downshift at altitude.																																								
		FN21S(TP_REL_H) 	 Vehicle speed for 2 - 1 downshift at sea level.																																								
		FN23A(TP_REL_H) 	 Vehicle speed for 2 - 3 upshift at altitude.																																								
		FN23PPH(TP_REL) 	 Min VS_RATEPH to allow 2 - 3 upshift.																																								
		FN23S(TP_REL_H) 	 Vehicle speed for 2 - 3 upshift at sea level.																																								
		FN32A(TP_REL_H) 	 Vehicle speed for 3 - 2 downshift at altitude.																																								
		FN32S(TP_REL_H) 	 Vehicle speed for 3 - 2 downshift at sea level.																																								
		FN34A(TP_REL_H) 	 Vehicle speed for 3 - 4 upshift at altitude.																																								
		FN34PPH(TP_REL) 	 Minimum VS_RATEPH to allow 3 - 4 upshift.																																								
		FN34S(TP_REL_H) 	 Vehicle speed for 3 - 4 upshift at sea level.																																								
		FN43A(TP_REL_H) 	 Vehicle speed for 4 - 3 downshift at altitude.																																								
		FN43S(TP_REL_H) 	 Vehicle speed for 4 - 3 downshift at sea level.																																								
		FN689D(TP_REL) 	 Engine speed for downshifts during VSS failure.																																								
		FN689U(TP_REL) 	 Engine speed for upshifts during VSS failure.																																								
		NE12A 	" WOT RPM 1 - 2 shift point, altitude."																																								
		NE12S 	" WOT RPM 1 - 2 shift point, sea level."																																								
		NE23A 	" WOT RPM 2 - 3 shift point, altitude."																																								
		NE23S 	" WOT RPM 2 - 3 shift point, sea level."																																								
		NE34A 	" WOT RPM 3 - 4 shift point, altitude."																																								
		NE34S 	" WOT RPM 3 - 4 shift point, sea level."																																								
		TM_DEL_DOWN 	 Time to delay/verify a downshift.																																								
		TM_DEL_TO_UP 	 Time to delay a tip-out upshift.																																								
		TM_DEL_UP 	 Time to delay/verify an upshift.																																								
		TO_TP_RATE 	 TP_RATE required to recognize a tip-out.																																								
		FN624(TP_REL) 	 Time to delay downshift to unlock converter.																																								
		GRMSFT 	 Gear commanded for manual shifting.																																								
		GR_NEU 	 Gear commmanded in neutral at a vehicle speed above VS_NEU.																																								
		SW_MSF 	" Switch to select GR_CM manually; 1 -> manual gear selection,  <> 1 -> automatic gear selection."																																								
		VS_NEU 	 Vehicle speed above which an  alternate  gear  is  commanded  in neutral.																																								
		VS21PI 	 Maximum vehicle speed for 2 - 1 pull in.																																								
		TM12MN  	  Time  to  remain  in  1st  gear  on  a  manual  1-2  to  allow first/reverse clutch to release.																																								
		TCDHMF 	" Time delay to infer coast clutch engagement on manual downshifts at high vehicle speed, sec."																																								
		TCDLMF 	" Time delay to infer coast clutch engagement on manual downshifts at low vehicle speeds, sec."																																								
		TCDNAF 	" Time to complete auto downshift, power off."																																								
		TCDNON 	" Time to complete downshift, power on."																																								
		TCUPOF 	" Time to complete upshift, power off."																																								
		TCUPON 	" Time to complete upshift, power on."																																								
		TCUPON4L 	" Time to complete upshift, power on, in 4X4L mode."																																								
		VSDNMF 	" Maximum vehicle speed to use TCDLMF, MPH."																																								
		CLDCTM 	 Cold shift solenoid cycle period (in background loops).																																								
		GRRAT1 	 First gear ratio.																																								
		GRRAT2 	 Second gear ratio.																																								
		GRRAT3 	 Third gear ratio.																																								
		GRRAT4 	 Fourth gear ratio.																																								
		TMS1G2 	 Time to delay SS1 on manual to auto 2nd gear shift.																																								
		S_VAL_NESUB 	 Tolerance on NE to verify an engine  speed  drop  (negative direction) during the shift validation.																																								
		S_VAL_TPADD 	 Tolerance on TP to verify steady  TP  (positive  direction) during the shift validation.																																								
		S_VAL_TPSUB 	 Tolerance on TP to verify steady  TP  (negative  direction) during the shift validation.																																								
		S_VAL_VSADD 	 Tolerance on VS to verify steady  vehicle  speed  (positive direction) during the shift validation.																																								
		S_VAL_VSSUB 	 Tolerance on VS to verify steady  vehicle  speed  (negative direction) during the shift validation.																																								
		SFT_FM_LVL 	 Total number of warm up cycles that failure mode action will be executed after a shift error is detected.																																								
		TP_SH_VALID 	 Minimum TP to validate a shift.																																								
		VS_SH_VAL2 	 Minimum vehicle speed to validate an upshift to 2nd gear.																																								
		VS_SH_VAL3 	 Minimum vehicle speed to validate an upshift to 3rd gear.																																								
		VS_SH_VAL4 	 Minimum vehicle speed to validate an upshift to 4th gear.																																								
		CSDYN12 	 Dynamic EPC multiplier for 1-2 shifts.																																								
		CSDYN23 	 Dynamic EPC multiplier for 2-3 shifts.																																								
		CSDYN34 	 Dynamic EPC multiplier for 3-4 shifts.																																								
		EPC_OTEMP 	 EPC adder for transmission overtemperature.																																								
		FN12T(TOT) 	 TV_PRES multiplier versus TOT for upshift to 2nd gear.																																								
		FN21T(TOT) 	 TV_PRES multiplier versus TOT for downshift to 2nd gear.																																								
		FN23T(TOT) 	 TV_PRES multiplier versus TOT for upshift to 3nd gear.																																								
		FN32T(TOT) 	 TV_PRES multiplier versus TOT for downshift to 3nd gear.																																								
		FN34T(TOT) 	 TV_PRES multiplier versus TOT for upshift to 4nd gear.																																								
		FN43T(TOT) 	 TV_PRES multiplier versus TOT for downshift to 4nd gear.																																								
		FN620(TV_PRES) 	 EPC VFS transfer function.																																								
		FN622(TOT)  	"  EPC  VFS  transfer  function  modifier   as   a   function transmission oil temperature, counts."																																								
		FN622A(TOT) 	 TV_PRES multiplier for TOT.																																								
		NE_OTEMP_MAX 	 Engine speed  above  which  EPC  pressure  is  raised  for tranmission overtemperature.																																								
		NE_OTEMP_MIN 	 Engine speed below  which  EPC  returns  to  normal  while tranmission is overtemperature.																																								
		NEUTIM 	 Minimum time in neutral to use neutral to in-gear engagement EPC functions.																																								
		NRUN 	 Minimum engine speed to exit crank mode.																																								
		RTSTAL 	 Maximum SPD_RATIO to do stall epc.																																								
		TM46BLP 	" Time after a forward to reverse engagement to use FN46B for EPC pressure, sec."																																								
		TM54BLP 	" Time after a neutral to forward engagement to use FN54B for EPC pressure, sec."																																								
		TM56BLP 	" Time after a neutral to reverse engagement to use FN56B for EPC pressure, sec."																																								
		TM64BLP 	" Time after a reverse to forward engagement to use FN64B for EPC pressure, sec."																																								
		TMDRVREV 	" Time to complete a forward to reverse engagement, sec."																																								
		TMNEUDRV 	" Time to complete a neutral to forward engagement, sec."																																								
		TMNEUREV 	" Time to complete a neutral to reverse engagement, sec."																																								
		TMREVDRV 	" Time to complete a reverse to forward engagement, sec."																																								
		TVASOF 	" EPC pressure for power off automatic shift, psi."																																								
		TVFMMN 	" Minimum EPC clip for VS, PRNDL or RPM sensor failures, psi."																																								
		TVPMIN 	" Global minimum TV_PRES clip, psi."																																								
		TVPMN1 	" Minimum EPC clip, PDL = 1, GEAR = 1, psi."																																								
		TVPMN2 	" Minimum EPC clip, PDL = 1, GEAR = 2, psi."																																								
		TVPMN3 	" Minimum EPC clip, PDL = 1, GEAR = 3, psi."																																								
		TVPMX1 	" Maximum EPC clip, PDL = 1, GEAR = 1, psi."																																								
		TVPMX2 	" Maximum EPC clip, PDL = 1, GEAR = 2, psi."																																								
		TVPMX3 	" Maximum EPC clip, PDL = 1, GEAR = 3, psi."																																								
		VSSTAL 	 Maximum vehicle speed to do stall EPC.																																								
		FN616(TP_REL_H) 	" Stall EPC pressure, psi. "																																								
		TVCHRG 	" EPC charge pressure for first start-up, psi. "																																								
		FN1CB(VSBART_RT) 	 First gear coast boost TV pressure.																																								
		FN2CB(VSBART_RT) 	 Second gear coast boost TV pressure.																																								
		FN3CB(VSBART_RT) 	 Third gear coast boost TV pressure.																																								
		FN46B_T 	" Engagement EPC for first TM46BLP seconds of forward to reverse engagement, psi; function of TOT."																																								
		FN46F_T 	" Engagement EPC at finish of engagement ramp for a forward to reverse engagement, psi; function of TOT. "																																								
		FN46S_T 	" Engagement EPC at start of engagement ramp for a forward to reverse engagement, psi; function of TOT."																																								
		FN46_NE 	 Multiplier for FN46S_T and FN46F_T; function of NEBART.																																								
		FN54B_T 	" Engagement EPC for first TM54BLP seconds of neutral to forward engagement, psi; function of TOT."																																								
		FN54F_T 	" Engagement EPC at finish of engagement ramp for a neutral to forward  engagement, psi; function of TOT. "																																								
		FN54S_T 	" Engagement EPC at start of engagement ramp for a neutral to forward  engagement, psi; function of TOT."																																								
		FN54_NE 	 Multiplier for FN54S_T and FN54F_T; function of NEBART.																																								
		FN56B_T 	" Engagement EPC for first TM56BLP seconds of neutral to reverse engagement, psi; function of TOT."																																								
		FN56F_T 	" Engagement EPC at finish of engagement ramp for a neutral to reverse engagement, psi; function of TOT. "																																								
		FN56S_T 	" Engagement EPC at start of engagement ramp for a neutral to reverse engagement, psi; function of TOT."																																								
		FN56_NE 	 Multiplier for FN56S_T and FN56F_T; function of NEBART.																																								
		FN616(TP_REL_H) 	 Stall TV pressure.																																								
		FN64B_T 	" Engagement EPC for first TM64BLP seconds of reverse to forward  engagement, psi; function of TOT."																																								
		FN64F_T 	" Engagement EPC at finish of engagement ramp for a reverse to forward engagement, psi; function of TOT."																																								
		FN64S_T 	" Engagement EPC at start of engagement ramp for a reverse to forward  engagement, psi; function of TOT."																																								
		FN64_NE 	 Multiplier for FN64S_T and FN64F_T; function of NEBART.																																								
		NETVMN 	 Minimum RPM to use TVEMOD engagement TV.																																								
		NETVMX 	 Minimum RPM to use TVEMAX engagement TV.																																								
		REV_ENG_ADD 	 Reverse Engagement Adder.																																								
		STALLTV_SW 	" Calibration switch to select FN616 during engagement; 0 -> select FN616, 1 -> do not select FN616."																																								
		TMREVDRV 	" Time to complete a revolution to forward engagement, sec."																																								
		TOTVTP 	 Tip-out TP cahnge to hold stall Tv.																																								
		TPTVMN 	 Minimum TP_REL to use TVEMOD engagement TV.																																								
		TPTVMX 	 Minimum TP_REL to use TVEMAX engagement TV.																																								
		TVEMAX 	 TV for worst case engagement.																																								
		VSTVMN 	 Minimum vehicle speed to use TVEMOD engagement TV.																																								
		VSTVMX 	 Minimum vehicle speed to use TVEMAX engagement TV. 																																								
		EPC_TQ_CONV 	 Torque converter static capacity EPC pressure requirement.																																								
		GR_CM 	 Current transmission gear.																																								
